flow_id,file_id,session_id,traffic_class,environment_id,network_condition_id,capture_day,capture_date,collection_batch,device_id,interface_type,tunnel_state,activity_variant,data_origin,dataset_version,window_id,window_index,window_start,window_end,packet_count,byte_count,mean_packet_size,std_packet_size,median_packet_size,p90_packet_size,p95_packet_size,mean_iat,std_iat,median_iat,p90_iat,forward_packets,backward_packets,forward_bytes,backward_bytes,packet_rate,byte_rate,burst_count,mean_burst_size,burst_rate,direction_switch_count
20260823_144333_web_001_5c95_flow_00000,real_20260823_144333_web_001_5c95,20260823_144333_web_001_5c95,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_144333_web_001_5c95_flow_00000_w000,0,0.000,2.000,87.000000,19584.000000,225.103448,72.121550,221.000000,314.800000,341.000000,0.022945,0.022557,0.014943,0.052318,87.000000,0.000000,19584.000000,0.000000,43.500000,9792.000000,11.000000,7.909091,5.500000,0.000000
20260823_144333_web_001_5c95_flow_00000,real_20260823_144333_web_001_5c95,20260823_144333_web_001_5c95,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_144333_web_001_5c95_flow_00000_w001,1,1.000,3.000,73.000000,16751.000000,229.465753,71.751298,235.000000,316.000000,340.400000,0.027597,0.031284,0.015670,0.063200,73.000000,0.000000,16751.000000,0.000000,36.500000,8375.500000,15.000000,4.866667,7.500000,0.000000
20260823_144333_web_001_5c95_flow_00000,real_20260823_144333_web_001_5c95,20260823_144333_web_001_5c95,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_144333_web_001_5c95_flow_00000_w002,2,2.000,4.000,71.000000,16990.000000,239.295775,78.281074,238.000000,334.000000,344.000000,0.026485,0.028681,0.018088,0.055097,71.000000,0.000000,16990.000000,0.000000,35.500000,8495.000000,14.000000,5.071429,7.000000,0.000000
20260823_144333_web_001_5c95_flow_00000,real_20260823_144333_web_001_5c95,20260823_144333_web_001_5c95,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_144333_web_001_5c95_flow_00000_w003,3,3.000,5.000,81.000000,19297.000000,238.234568,84.062186,228.000000,340.000000,375.000000,0.023715,0.024796,0.015182,0.054118,81.000000,0.000000,19297.000000,0.000000,40.500000,9648.500000,14.000000,5.785714,7.000000,0.000000
20260823_144333_web_001_5c95_flow_00000,real_20260823_144333_web_001_5c95,20260823_144333_web_001_5c95,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_144333_web_001_5c95_flow_00000_w004,4,4.000,6.000,65.000000,15280.000000,235.076923,81.248964,223.000000,347.600000,373.800000,0.030990,0.035940,0.015460,0.077926,65.000000,0.000000,15280.000000,0.000000,32.500000,7640.000000,15.000000,4.333333,7.500000,0.000000
20260823_144333_web_001_5c95_flow_00000,real_20260823_144333_web_001_5c95,20260823_144333_web_001_5c95,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_144333_web_001_5c95_flow_00000_w005,5,5.000,7.000,58.000000,13914.000000,239.896552,72.459189,233.000000,349.200000,355.600000,0.033342,0.037372,0.020093,0.085608,58.000000,0.000000,13914.000000,0.000000,29.000000,6957.000000,12.000000,4.833333,6.000000,0.000000
20260823_144333_web_001_5c95_flow_00000,real_20260823_144333_web_001_5c95,20260823_144333_web_001_5c95,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_144333_web_001_5c95_flow_00000_w006,6,6.000,8.000,73.000000,16557.000000,226.808219,75.011352,228.000000,338.600000,356.600000,0.027611,0.031016,0.019872,0.060246,73.000000,0.000000,16557.000000,0.000000,36.500000,8278.500000,12.000000,6.083333,6.000000,0.000000
20260823_144333_web_001_5c95_flow_00000,real_20260823_144333_web_001_5c95,20260823_144333_web_001_5c95,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_144333_web_001_5c95_flow_00000_w007,7,7.000,9.000,71.000000,15797.000000,222.492958,80.561039,222.000000,325.000000,356.500000,0.028228,0.024782,0.023170,0.059083,71.000000,0.000000,15797.000000,0.000000,35.500000,7898.500000,17.000000,4.176471,8.500000,0.000000
20260823_144333_web_001_5c95_flow_00000,real_20260823_144333_web_001_5c95,20260823_144333_web_001_5c95,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_144333_web_001_5c95_flow_00000_w008,8,8.000,10.000,61.000000,14126.000000,231.573770,80.095734,221.000000,325.000000,359.000000,0.032282,0.027218,0.025654,0.068378,61.000000,0.000000,14126.000000,0.000000,30.500000,7063.000000,20.000000,3.050000,10.000000,0.000000
20260823_144333_web_001_5c95_flow_00000,real_20260823_144333_web_001_5c95,20260823_144333_web_001_5c95,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_144333_web_001_5c95_flow_00000_w009,9,9.000,11.000,76.000000,17963.000000,236.355263,75.455059,223.500000,341.000000,363.250000,0.025571,0.023519,0.016085,0.057128,76.000000,0.000000,17963.000000,0.000000,38.000000,8981.500000,13.000000,5.846154,6.500000,0.000000
